Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,LBH,LBA,LBD,WHH,WHA,WHD
20121201,West Brom,Stoke,0,1,A,2.0,3.5,3.4,2.1,3.5,3.3
20121201,West Ham,Chelsea,3,1,H,4.2,1.83,3.5,3.8,2.0,3.3
20121202,Norwich,Sunderland,2,1,H,2.2,3.2,3.3,2.05,3.8,3.2
20121203,Newcastle,Wigan,3,0,H,1.91,4.0,3.4,2.05,3.75,3.2
20121208,Arsenal,West Brom,2,0,H,1.53,6.0,4.0,1.57,6.0,3.8
20121208,Aston Villa,Stoke,0,0,D,2.4,2.9,3.25,2.5,2.8,3.2
20121208,Southampton,Reading,1,0,H,2.0,3.75,3.3,1.95,4.0,3.3
20121208,Sunderland,Chelsea,1,3,A,4.5,1.8,3.5,4.8,1.8,3.4
20121208,Swansea,Norwich,3,4,A,1.83,4.33,3.5,1.85,4.5,3.3
20121208,Wigan,QPR,2,2,D,2.3,3.1,3.2,2.45,3.0,3.1
20121209,Everton,Tottenham,2,1,H,2.05,3.6,3.3,1.95,3.6,3.5
20121209,Man City,Man United,2,3,A,2.25,3.2,3.2,2.3,3.4,3.0
20121209,West Ham,Liverpool,2,3,A,3.0,2.4,3.2,3.0,2.5,3.0
20121210,Fulham,Newcastle,2,1,H,1.91,4.0,3.4,1.95,3.8,3.5
20121211,Sunderland,Reading,3,0,H,2.0,3.75,3.4,2.0,4.0,3.2
20121215,Liverpool,Aston Villa,1,3,A,1.4,8.0,4.5,1.33,8.5,4.75
20121215,Man United,Sunderland,3,1,H,1.2,13.0,6.5,1.2,12.0,6.0
20121215,Newcastle,Man City,1,3,A,5.0,1.62,4.0,5.5,1.62,3.6
20121215,Norwich,Wigan,2,1,H,2.2,3.25,3.25,2.1,3.25,3.4
20121215,QPR,Fulham,2,1,H,2.4,2.88,3.3,2.45,2.8,3.4
20121215,Stoke,Everton,1,1,D,2.8,2.5,3.3,2.9,2.38,3.2
20121216,Tottenham,Swansea,1,0,H,1.62,5.5,3.75,1.62,5.0,3.8
20121216,West Brom,West Ham,0,0,D,2.0,3.75,3.3,2.0,3.6,3.5
20121217,Reading,Arsenal,2,5,A,5.0,1.67,3.75,4.6,1.67,3.8
20121222,Liverpool,Fulham,4,0,H,1.57,6.0,3.75,1.57,7.0,3.5
20121222,Man City,Reading,1,0,H,1.14,17.0,7.5,1.17,21.0,6.5
20121222,Newcastle,QPR,1,0,H,2.1,3.5,3.25,2.15,3.6,3.1
20121222,Southampton,Sunderland,0,1,A,2.0,3.6,3.4,2.1,3.6,3.2
20121222,Tottenham,Stoke,0,0,D,1.62,6.0,3.6,1.62,6.5,3.4
20121222,West Brom,Norwich,2,1,H,2.0,3.75,3.3,2.0,3.8,3.3
20121222,West Ham,Everton,1,2,A,2.88,2.4,3.3,2.9,2.4,3.3
20121222,Wigan,Arsenal,0,1,A,4.5,1.73,3.75,5.0,1.75,3.4
20121223,Chelsea,Aston Villa,8,0,H,1.36,9.0,4.5,1.36,9.0,4.5
20121223,Swansea,Man United,1,1,D,5.5,1.57,4.0,5.0,1.7,3.6
20121226,Aston Villa,Tottenham,0,4,A,3.4,2.05,3.5,3.75,2.05,3.2
20121226,Everton,Wigan,2,1,H,1.5,6.5,4.2,1.5,6.5,4.2
20121226,Fulham,Southampton,1,1,D,1.8,4.33,3.6,1.85,4.5,3.3
20121226,Man United,Newcastle,4,3,H,1.25,11.0,6.0,1.25,13.0,5.5
20121226,Norwich,Chelsea,0,1,A,5.5,1.62,3.75,6.0,1.62,3.6
20121226,QPR,West Brom,1,2,A,2.25,3.1,3.3,2.25,3.4,3.1
20121226,Reading,Swansea,0,0,D,2.7,2.5,3.4,3.0,2.5,3.0
20121226,Stoke,Liverpool,3,1,H,3.1,2.3,3.25,3.4,2.25,3.1
20121226,Sunderland,Man City,1,0,H,6.0,1.53,4.0,7.5,1.57,3.4
20121229,Arsenal,Newcastle,7,3,H,1.45,7.0,4.33,1.44,8.0,4.0
20121229,Aston Villa,Wigan,0,3,A,2.3,3.1,3.25,2.4,3.1,3.1
20121229,Fulham,Swansea,1,2,A,2.1,3.4,3.4,2.15,3.5,3.2
20121229,Man United,West Brom,2,0,H,1.29,9.5,5.5,1.33,10.0,4.8
20121229,Norwich,Man City,3,4,A,5.5,1.57,4.0,6.0,1.6,3.6
20121229,Reading,West Ham,1,0,H,2.6,2.6,3.4,2.7,2.62,3.2
20121229,Stoke,Southampton,3,3,D,1.8,4.5,3.4,1.85,5.0,3.1
20121229,Sunderland,Tottenham,1,2,A,3.4,2.1,3.4,3.6,2.15,3.1
20121230,Everton,Chelsea,1,2,A,2.8,2.5,3.25,2.8,2.6,3.1
20121230,QPR,Liverpool,0,3,A,3.75,1.91,3.5,4.0,2.0,3.2
20130101,Man City,Stoke,3,0,H,1.3,10.0,5.0,1.33,12.0,4.33
20130101,Southampton,Arsenal,1,1,D,4.5,1.73,3.75,5.0,1.7,3.6
20130101,Swansea,Aston Villa,2,2,D,1.6,6.0,3.75,1.6,6.0,3.6
20130101,Tottenham,Reading,3,1,H,1.3,10.0,5.0,1.36,10.0,4.33
20130101,West Brom,Fulham,1,2,A,2.0,3.75,3.4,2.0,3.75,3.3
20130101,West Ham,Norwich,2,1,H,2.1,3.4,3.4,2.15,3.6,3.1
20130101,Wigan,Man United,0,4,A,6.0,1.5,4.33,6.0,1.57,3.75
20130102,Chelsea,QPR,0,1,A,1.22,12.0,6.0,1.22,15.0,5.5
20130102,Liverpool,Sunderland,3,0,H,1.4,8.0,4.5,1.4,9.5,4.0
20130102,Newcastle,Everton,1,2,A,2.8,2.4,3.4,3.0,2.4,3.2
20130112,Aston Villa,Southampton,0,1,A,2.4,2.88,3.3,2.62,2.8,3.1
20130112,Everton,Swansea,0,0,D,1.62,5.5,3.75,1.62,6.0,3.6
20130112,Fulham,Wigan,1,1,D,1.95,3.75,3.5,2.05,3.8,3.2
20130112,Norwich,Newcastle,0,0,D,2.05,3.4,3.4,2.25,3.25,3.25
20130112,QPR,Tottenham,0,0,D,4.33,1.83,3.5,4.5,1.91,3.2
20130112,Reading,West Brom,3,2,H,2.88,2.4,3.3,3.0,2.5,3.0
20130112,Stoke,Chelsea,0,4,A,4.2,1.95,3.2,4.33,2.0,3.0
20130112,Sunderland,West Ham,3,0,H,2.25,3.2,3.25,2.4,3.1,3.1
20130113,Arsenal,Man City,0,2,A,2.7,2.5,3.4,2.7,2.8,3.0
20130113,Man United,Liverpool,2,1,H,1.83,4.0,3.75,1.95,4.0,3.3
20130116,Chelsea,Southampton,2,2,D,1.25,10.0,6.0,1.25,12.0,5.5
20130119,Liverpool,Norwich,5,0,H,1.33,8.5,5.0,1.36,9.0,4.5
20130119,Man City,Fulham,2,0,H,1.25,10.0,6.0,1.29,11.0,5.0
20130119,Newcastle,Reading,1,2,A,1.8,4.2,3.75,1.73,5.0,3.5
20130119,Swansea,Stoke,3,1,H,2.15,3.5,3.2,2.25,3.3,3.2
20130119,West Brom,Aston Villa,2,2,D,1.72,4.5,3.75,1.75,5.0,3.4
20130119,West Ham,QPR,1,1,D,2.1,3.5,3.3,2.1,3.8,3.1
20130119,Wigan,Sunderland,2,3,A,2.15,3.4,3.3,2.15,3.6,3.1
20130120,Chelsea,Arsenal,2,1,H,1.83,4.0,3.75,1.95,4.0,3.3
20130120,Tottenham,Man United,1,1,D,3.0,2.25,3.5,3.0,2.5,3.0
20130121,Southampton,Everton,0,0,D,3.5,2.1,3.3,4.0,2.0,3.2
20130123,Arsenal,West Ham,5,1,H,1.44,7.0,4.5,1.44,7.5,4.2
20130129,Aston Villa,Newcastle,1,2,A,2.8,2.62,3.1,2.75,2.7,3.0
20130129,QPR,Man City,0,0,D,6.5,1.44,4.33,7.0,1.5,4.0
20130129,Stoke,Wigan,2,2,D,2.1,3.6,3.2,2.2,3.6,3.1
20130129,Sunderland,Swansea,0,0,D,2.5,2.9,3.1,2.5,3.0,3.0
20130130,Arsenal,Liverpool,2,2,D,2.2,3.1,3.5,2.4,3.1,3.1
20130130,Everton,West Brom,2,1,H,1.61,5.5,3.75,1.6,5.0,4.2
20130130,Fulham,West Ham,3,1,H,2.2,3.3,3.25,2.2,3.4,3.2
20130130,Man United,Southampton,2,1,H,1.2,12.0,6.5,1.25,11.0,6.0
20130130,Norwich,Tottenham,1,1,D,4.5,1.8,3.5,4.5,1.85,3.3
20130130,Reading,Chelsea,2,2,D,6.5,1.5,4.0,7.0,1.5,4.0
20130202,Arsenal,Stoke,1,0,H,1.4,8.0,4.33,1.44,9.0,3.8
20130202,Everton,Aston Villa,3,3,D,1.4,7.5,4.33,1.4,9.0,4.2
20130202,Fulham,Man United,0,1,A,6.0,1.57,3.75,5.5,1.67,3.6
20130202,Newcastle,Chelsea,3,2,H,3.75,1.95,3.5,4.0,2.0,3.2
20130202,QPR,Norwich,0,0,D,2.0,3.75,3.3,2.0,4.0,3.2
20130202,Reading,Sunderland,2,1,H,2.4,2.87,3.3,2.38,2.9,3.0
20130202,West Ham,Swansea,1,0,H,2.37,2.87,3.4,2.45,3.0,3.1
20130202,Wigan,Southampton,2,2,D,2.1,3.5,3.3,2.25,3.4,3.1
20130203,Man City,Liverpool,2,2,D,1.83,4.0,3.75,1.85,4.2,3.5
20130203,West Brom,Tottenham,0,1,A,3.4,2.1,3.4,3.3,2.2,3.3
20130209,Chelsea,Wigan,4,1,H,1.28,9.0,5.5,1.36,9.0,4.5
20130209,Norwich,Fulham,0,0,D,2.3,3.0,3.3,2.3,3.2,3.2
20130209,Southampton,Man City,3,1,H,5.5,1.57,4.0,5.5,1.67,3.6
20130209,Stoke,Reading,2,1,H,1.9,4.2,3.3,1.95,4.5,3.1
20130209,Sunderland,Arsenal,0,1,A,4.33,1.83,3.5,4.2,1.91,3.3
20130209,Swansea,QPR,4,1,H,1.83,4.33,3.5,1.91,4.2,3.3
20130209,Tottenham,Newcastle,2,1,H,1.66,5.0,3.75,1.7,5.5,3.4
20130210,Aston Villa,West Ham,2,1,H,2.4,2.8,3.4,2.7,2.8,3.0
20130210,Man United,Everton,2,0,H,1.61,5.0,4.0,1.8,5.0,3.25
20130211,Liverpool,West Brom,0,2,A,1.4,7.5,4.5,1.4,8.0,4.5
20130217,Liverpool,Swansea,5,0,H,1.53,6.0,4.0,1.57,5.5,4.0
20130223,Arsenal,Aston Villa,2,1,H,1.33,9.0,5.0,1.33,11.0,4.5
20130223,Fulham,Stoke,1,0,H,2.2,3.4,3.2,2.25,3.5,3.0
20130223,Norwich,Everton,2,1,H,3.5,2.1,3.3,3.6,2.15,3.1
